tool;source_format;tipo_blocco;macro_sezione;n
opendataloader;json;ACQUISITI_PARERI;PARERI_ATTESTAZIONI;9
opendataloader;json;ACQUISITO;ISTRUTTORIA;9
opendataloader;json;ANALIZZATO;ISTRUTTORIA_VALUTAZIONE;1
opendataloader;json;ATTESO;MOTIVAZIONE;18
opendataloader;json;CONSIDERATO;MOTIVAZIONE;46
opendataloader;json;DATO_ATTO;ISTRUTTORIA;47
opendataloader;json;DISPOSITIVO_ATTESTA;DISPOSITIVO_ATTESTA;2
opendataloader;json;DISPOSITIVO_DELIBERA;DISPOSITIVO_DELIBERA;48
opendataloader;json;DISPOSITIVO_PROPOSTA;DISPOSITIVO_PROPOSTA;11
opendataloader;json;ESAMINATO;ISTRUTTORIA_VALUTAZIONE;2
opendataloader;json;EVIDENZIATO;MOTIVAZIONE;4
opendataloader;json;FORMULATO;ISTRUTTORIA;4
opendataloader;json;INDIVIDUATO;ISTRUTTORIA;2
opendataloader;json;PRECISATO;ISTRUTTORIA_MOTIVAZIONE;6
opendataloader;json;PREDISPOSTO;ISTRUTTORIA;1
opendataloader;json;PREMESSO;NARRATIVA_PREMESSA;22
opendataloader;json;PRESO_ATTO;ISTRUTTORIA;22
opendataloader;json;RAVVISATO;MOTIVAZIONE;2
opendataloader;json;RICHIAMATO;PREAMBOLO_RIFERIMENTI;21
opendataloader;json;RICONOSCIUTO;MOTIVAZIONE_VALUTAZIONE;6
opendataloader;json;RICORDATO;PREAMBOLO_RIFERIMENTI;1
opendataloader;json;RILEVATO;ISTRUTTORIA_MOTIVAZIONE;14
opendataloader;json;RITENUTO;MOTIVAZIONE_VALUTAZIONE;48
opendataloader;json;TENUTO_CONTO;ISTRUTTORIA_MOTIVAZIONE;4
opendataloader;json;UDITO;ISTRUTTORIA;6
opendataloader;json;VALUTATO;MOTIVAZIONE_VALUTAZIONE;5
opendataloader;json;VERIFICATO;ISTRUTTORIA;2
opendataloader;json;VISTI_PARERI;PARERI_ATTESTAZIONI;13
opendataloader;json;VISTO;PREAMBOLO_RIFERIMENTI;108
